タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
[A]たまに君のことを思い出してしまうよな Helsinki Lambda Club MV,,2024年/日本/0h06,監督・脚本・編集：井口奈己 作詞・作曲・出演：橋本薫 出演：名古屋愛,,『左手に気をつけろ』＋『だれかが歌ってる』＋MV『たまに君のことを思い出してしまうよな』同時上映,,,
[B]人のセックスを笑うな,,2007年/日本/2h17/35mm,監督：井口奈己 原作：山崎ナオコーラ 出演：永作博美、松山ケンイチ、蒼井優、忍成修吾、市川実和子、藤田陽子,19歳の美術学校生のみるめ。ある日、絵のモデルを20才年上の講師ユリに頼まれ、恋におちた。初めての恋に有頂天のみるめだったが、実はユリは結婚していたー。恋する切なさ、楽しさ、滑稽さを、丁寧に映し出し、観るものの胸をしめつける、せつなさ100%の恋愛映画。,7/5(土)、7/8(火)19：40〜(終22：02),,,
[C]犬猫(8mm),,2000年/1h24/8mm/DCP◆8mm映写：鈴木昭彦,監督：井口奈己 撮影・録音：鈴木昭彦 制作：佐野久仁子 出演：小松留美、塩谷恵子、鈴木卓爾、川原啓介、阿部美奈子、小林花よ,留学した友人の留守宅を預かることになったヨーコのもとへ、幼馴染のスズが転がり込んできた。一軒家での2人暮らしは、ヨーコが密かに想いを寄せていた三鷹君を、スズがちゃっかり招待したあたりから雲行きが怪しくなってきて...。井口奈己の初監督作品。,7/6(日)18：15〜(終19：39)※8mm上映 7/7(月)18：00〜(終19：29)※DCP上映 7/10(木)19：40〜(終21：09)※DCP上映,,,
[D]こどもが映画をつくるとき,,2021年/日本/1h56,監督・撮影・編集：井口奈己 撮影・仕上げ：鈴木昭彦/撮影：真弓信吾 録音：城野直樹、坂元就 音楽：木村恵太郎,コロナ禍に宮崎で開催された「こども映画教室」。12人のこどもたちが、3日間で映画をつくり、上映するまでの姿を追いかけた、こどもが主役のドキュメンタリー。映画作りの初期衝動や自由さがまっすぐに伝わってくる、井口監督初のドキュメンタリー作品。,,,,
[D]BLUE group_inou MV,,2015年/日本/0h06,監督・編集：井口奈己 撮影：鈴木昭彦 出演：中村ゆりか、志田彩良,,『こどもが映画をつくるとき』+MV『BLUE』同時上映,,,
マリア・モンテッソーリ 愛と創造のメソッド,,2023年/フランス・イタリア/1h39,監督・脚本：レア・トドロフ 出演：ジャスミン・トリンカ、レイラ・ベクティ、ラファエル・ソンヌヴィル=キャビー,モンテッソーリ教育の生みの親で、イタリア初の女性医師、そして母親でもあったマリアが自らの教育実践の場「子どもの家」を開設するまでの7年間を描く。,7/12(土)～7/18(金) 9:30～(終11：14),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
JOIKA 美と狂気のバレリーナ,,2023年/イギリス・ニュージーランド/1h51,監督・脚本：ジェームス・ネイピア・ロバートソン 出演：タリア・ライダー、ダイアン・クルーガー,夢を抱いてロシアのボリショイ・バレエ団に入学したアメリカ人のジョイは、教師・ヴォルコワによる脅迫的レッスンで追い込まれていく。実話に基づく狂気に満ちた物語,7/12(土)～7/18(金) 11:30～(終13：25),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
ファーストキス 1ST KISS,,2025年/日本/2h04,監督：塚原あゆ子 脚本：坂元裕二『花束みたいな恋をした』 出演：松たか子、松村北斗、リリー・フランキー、吉岡里帆、森七菜,夫を事故で失ったカンナは、15年前にタイムトラベルし、再び恋をする。夫を救うためカンナがとる行動とはー。坂元裕二脚本による心揺さぶるラブストーリー。,7/12(土)～7/18(金) 13:40～(終15：49) 7/19(土)～7/25(金) 11:25～(終13：34),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
東京公園,,2011年/日本/1h59,監督・脚本・音楽：青山真治 出演：三浦春馬、榮倉奈々、染谷将太、小西真奈美、井川遥,大切な人をまっすぐに見つめたくなる。東京中の公園で切実な想いが重なり合う、珠玉のラブストーリー。,7/12(土)～7/18(金) 16:00～(終18：04),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
朝の火,,2024年/日本/1h22,監督・脚本・編集：広田智大 助監督：甫木元空、栗原翔 出演：笠島智、山本圭将、福本剛士、須森隆文,ゴミ処理施設で働く二人の男。平成と令和の狭間で、現代社会から孤立して生きる人々を描き出す。,7/12(土)、14(月)、16(水)、18(金) 18:15～(終19：40) 7/13(日)、15(火)、17(木) 20:25～(終21：50),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★期間中トークを予定 ★先着プレゼント（B5サイズに折りたたんだポスター）あり
BAUS 映画から船出した映画館,,2024年/日本/1h56,監督・脚本：甫木元空 脚本：青山真治 出演：染谷将太、峯田和伸、夏帆,2014年に幕を閉じた〈吉祥寺バウスシアター〉。映画上映のみならず、演劇、音楽、落語…と娯楽を追い求め我々を魅了し続けた、シアターの始まりを辿る物語。,7/12(土)、14(月)、16(水)、18(金) 19:50～(終21：50) 7/13(日)、15(火)、17(木) 18:15～(終20：15),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★7/12(土)上映後、甫木元空監督による舞台挨拶あり
ロボット・ドリームズ,,2023年/スペイン・フランス/1h42,監督・製作・脚本：パブロ・ベルヘル 原作：サラ・バロン,孤独な犬とその元へやってきたロボットが紡ぐ友情をセリフ無しで描くアニメ。1980年代のNYの街並みを見事に再現し、当時の音楽に彩られた切なくも温かい物語。,7/19(土)～7/25(金) 13:50～(終15：37) 7/26(土)～8/1(金) 17:45～(終19：32),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
