タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
グレース,,2023年/ロシア/1h59,監督・脚本：イリヤ・ポヴォロツキー 出演：マリア・ルキャノヴァ、ジェラ・チタヴァ,移動映画館を続けながら放浪生活を送る父と娘。ソ連崩壊後、停滞感に覆われたロシア辺境を舞台に、思春期の不安を抱える少女の成長を追ったロードムービー。,2/15(土)～2/21(金) 18：00～(終20：04),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ストックホルム国際映画祭 最優秀撮影賞,★先着でポストカードをプレゼント！（数量限定）
ヴァラエティ,,1983年/アメリカ/1h40,監督・原案：ベット・ゴードン 脚本：キャシー・アッカー 音楽：ジョン・ルーリー 出演：サンディ・マクロード、ウィル・パットン、リチャード・デヴィッドソン、ルイス・ガスマン、ナン・ゴールディン、クッキー・ミューラー,タイムズ・スクエア近くのポルノ映画館「Variety」。チケットを売るクリスティーン（サンディ・マクロード）は、ある日一人の男性客と言葉を交わす。以来、彼女はその男を追いかけるようになる……。アルフレッド・ヒッチコック『めまい』(1958)に想を得た物語。,2/15(土)、17(月)、19(水)、21(金)20：15〜(終22：00),,,
エンプティ・スーツケース,,1980年/アメリカ/0h52,監督：ベット・ゴードン 出演：ローズマリー・ホックシールド、ロン・ヴォーター、ヴィヴィアン・ディック、ナン・ゴールディン、ヤニカ・ヨーダー、ジェイミー・マクブレイディ、ベット・ゴードン/声：リン・ティルマン、カリン・ケイ、アネット・ブレインデル、ドロシー・ザイドマン、マーク・ハイドリッヒ,職場のあるシカゴと恋人がいるニューヨーク。２つの都市を行き来する女性が抱える疎外感と孤立感が考察される実験的で闘争的な作品。国際映画祭などで上映され高い評価を得た。,,,,
エニバディズ・ウーマン,,1981年/アメリカ/0h24,監督：ベット・ゴードン 出演：ナンシー・レイリー、スポルディング・グレイ、マーク・ハイドリッヒ、トム・ライト/ナレーション:カリン・ケイ,長編『ヴァラエティ』に先駆けて、ニューヨークのポルノ映画館「Variety」を舞台に作られた短編作品。タイトルは、サイレント期から活躍した女性映画監督ドロシー・アーズナーによる1930年製作の同名のハリウッド映画作品に由来する。,『エンプティ・スーツケース』『エニバディズ・ウーマン』２本立て上映,,,
あなたのおみとり,,2024年/日本/1h35,監督・製作・撮影・編集：村上浩康『東京干潟』『たまねこ、たまびと』,家での最期を希望した父と、看取りを決意した母。息子のカメラが映し出す、戸惑い、驚き、喜び…。生と死に向き合う日々をありのままにみつめたドキュメント,2/22(土)～2/28(金) 9：30～(終11：10),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★2/22(土)、23(日)、24(月・祝)上映後、村上浩康監督の舞台挨拶あり
二つの季節しかない村,,2023年/トルコ・フランス・ドイツ/3h18,監督・製作・脚本・編集：ヌリ・ビルゲ・ジェイラン『雪の轍』 出演：デニズ・ジェリオウル、メルヴェ・ディズダル,トルコ東部の雪深い村。プライドが高く周囲を見下す美術教師サメットは慕われていた女生徒に告発され…。繊細な人間感情の機微を圧倒的な演出力で描く。,2/22(土)～2/28(金) 11：30～(終14：53),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,カンヌ国際映画祭 最優秀女優賞（メルヴェ・ディズダル）,
イル・ポスティーノ 4K デジタル・リマスター版,,1994年/イタリア・フランス/1h49,監督・脚色：マイケル・ラドフォード 出演：マッシモ・トロイージ、フィリップ・ノワレ,南イタリアの小島で、チリの詩人パブロ・ネルーダと内気な郵便配達人との間に生まれた絆と切ない運命。30年前の名作がデジタル修復で名曲に乗せて美しく蘇る。,2/22(土)～2/28(金) 15：05～(終16：59),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,英国アカデミー賞 監督賞、作曲賞、外国語映画賞,
SUPER HAPPY FOREVER,,2024年/日本・フランス/1h34,監督・脚本・編集：五十嵐耕平 脚本：久保寺晃一 出演：佐野弘樹、宮田佳典、山本奈衣瑠、ホアン・ヌ・クイン,幼なじみの佐野と宮田は、佐野の亡き妻が失くした赤い帽子を探すが…。海辺の町を舞台に忘れることのできない大切な時間を描いた、ひと夏の物語。,2/22(土)～2/28(金) 17：10～(終18：49),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ヴェネチア国際映画祭 ヴェニス・デイズ部門オープニング作品,
泳ぎすぎた夜,,2017年/日本・フランス/1h19,監督：五十嵐耕平、ダミアン・マニヴェル 出演：古川鳳羅、古川蛍姫、古川知里、古川孝、工藤雄志、はな,雪で覆われた青森の小さな町。夜明け前、漁業市場で働いてい る父親はひとり静かに仕事に行く準備を始める。なぜかこの日に限って、その物音で目を覚ました６歳の息子。父親が出て行ったあと、彼はクレヨンで魚の絵を描く。そして翌日。少年は眠たい目を擦りながら出かけるが、学校には向かわず、雪に埋もれた道なき道をさまよい始める。父親に、この僕の書いた絵を届けに行こう、そう思ったのか、父親が働く市場を目指す。ロカルノで出会い意気投合した日仏の共同監督による瑞々しい野心作。,2/23(日)、27(木)20：40〜(終22：04) 2/25(火)19：00〜(終20：24),,,
息を殺して,,2014年/日本/1h25,監督・脚本：五十嵐耕平 出演：谷口蘭、稲葉雄介、嶺豪一、足立智充、原田浩二、稲垣雄基、田中里奈、あらい汎、のぼ,東京オリンピックを約２年後に控えた2017年12月30日。憲法が改正され国防軍も創設されている時代状況の中、ゴミ処理工場に一匹の犬が迷い込む。事務のタニちゃんは犬を探すが見つからない。夜勤を終えたケンはこの日非番のゴウとTVゲームをして遊んで いる。足立さんは帰ろうとせず、ヤナさんは新年の飾り付けに勤しんでいる。足立さんとの不倫関係に思い悩むタニちゃんだったが、いつしか既に死んだはずの元工場長の父親が、この場所にいるのではないかと感じ始める。東京藝術大学大学院の修了作品。,2/22(土)、26(水)、28(金)19：00〜(終20：30) 2/24(月・祝)20：30〜(終22：00),,,
